sym,sd,sc,dec,r15,r60,reod,brk
ACN,S,63,X,35,-51,-53,TP
ADBE,S,50,X,-18,-12,8,SL
ADM,S,35,X,-38,-82,12,SL
ADM,S,50,X,62,60,144,TP
ADSK,S,53,X,-12,-28,-57,SL
ADSK,S,68,P,71,101,507,TP
AKAM,S,48,X,9,97,97,TP
AKAM,S,43,X,-73,24,9,SL
AKAM,S,49,X,83,155,293,TP
AKAM,S,68,P,-31,-39,-18,SL
AKAM,S,54,X,-35,-160,-276,SL
ALB,S,42,X,35,-8,71,TP
ALB,S,64,X,-75,35,106,SL
ALB,S,53,X,25,141,230,SL
ALL,S,47,X,13,120,193,TP
AMAT,S,46,X,45,60,-12,TP
AMAT,S,25,X,56,106,403,SL
AMCR,B,46,X,-48,-5,8,SL
ASML,S,55,X,-18,-16,14,SL
ASML,S,63,P,-22,-14,76,SL
ASML,S,59,X,28,28,28,AMB
ASML,S,48,X,59,58,169,TP
ASTS,B,39,X,-49,214,-91,SL
ASTS,B,54,X,49,272,139,TP
ASTS,S,55,X,-3,47,24,SL
ASTS,S,45,X,-106,-265,-388,SL
AVGO,B,48,X,-10,-22,-71,SL
AVGO,S,49,X,-31,44,90,SL
AXON,S,70,P,-2,105,-13,TP
AXON,S,54,X,-18,-46,-27,SL
AXON,S,43,X,-22,67,-33,SL
AXON,S,61,P,-71,-101,-166,SL
BG,B,59,X,3,3,24,SL
BG,S,33,X,65,22,37,TP
BG,S,42,X,42,77,77,TP
BKR,B,40,X,-46,-40,-19,SL
BKR,S,61,X,-5,-55,-41,SL
BKR,S,67,X,29,2,17,SL
BKR,S,59,X,7,52,91,SL
BKR,S,53,X,-6,-20,52,TO
BYND,B,31,X,20,302,242,TP
BYND,S,70,X,-58,-191,-317,SL
CAG,S,61,X,0,56,56,SL
CBOE,S,38,X,-20,25,25,TO
COIN,S,66,X,-47,41,218,SL
COIN,S,70,X,18,91,91,TP
COP,S,51,X,46,-43,-7,SL
COST,S,61,P,-3,-9,-9,TO
COST,S,55,X,-27,-50,-4,SL
CPAY,S,31,X,-12,-8,-8,SL
CPAY,S,47,X,-45,-24,-12,SL
CPAY,S,38,X,-21,-101,-170,SL
CRM,B,26,X,10,58,-17,TP
CRM,S,64,X,12,-7,-38,SL
CTSH,S,55,X,34,34,-76,TP
CTSH,S,66,X,-7,-28,57,SL
CTSH,S,60,X,62,109,-210,TP
CVX,S,61,X,-11,-10,127,SL
DHI,B,25,X,4,95,238,TP
DLR,B,40,X,41,46,60,TP
DLTR,S,60,X,-16,-25,-170,SL
DLTR,B,51,X,-23,-40,193,SL
DOV,S,49,X,28,89,46,TP
DOV,S,64,X,-1,-55,-47,SL
DOV,S,43,X,54,84,84,TP
DOV,S,36,X,9,-4,207,TO
DOW,S,56,X,-11,30,14,SL
DOW,S,57,X,47,-23,-80,TP
DOW,S,70,X,13,4,-13,SL
DRI,B,67,X,-21,14,77,SL
DXCM,B,41,X,39,120,259,TP
DXCM,S,47,X,1,23,69,TP
DXCM,S,66,P,64,19,176,TP
DXCM,B,53,X,-10,-19,7,SL
EOG,S,39,X,-4,5,-24,TO
EXE,S,55,X,-20,-44,-13,SL
FCX,S,44,X,-16,-61,-73,SL
FCX,S,60,X,21,62,130,TP
FCX,B,63,P,-1,-42,-78,SL
FISV,S,58,X,-16,18,38,SL
FISV,S,65,X,6,-15,31,TO
FISV,S,69,P,-28,-247,-193,SL
GBTC,S,63,X,-4,-14,2,SL
GBTC,B,51,X,9,2,-34,TO
GILD,B,59,X,0,28,74,TO
GILD,S,33,X,25,25,25,TO
GILD,S,70,X,-5,7,62,TO
